ID,Facility ID,Facility Name,Label,Status,Assigned Parolee ID,Updated At
1,1,Boise Recovery House,Bed 1,occupied,IDOC-10001,2026-04-09 03:14:33.673015+00:00
6,1,Boise Recovery House,Bed 6,held,,2026-04-09 03:14:33.704448+00:00
83,10,Large Seed Facility 2,Expansion Bed 18,available,,2026-04-09 03:14:34.871010+00:00
84,10,Large Seed Facility 2,Expansion Bed 19,available,,2026-04-09 03:14:34.878053+00:00
85,10,Large Seed Facility 2,Expansion Bed 20,available,,2026-04-09 03:14:34.885201+00:00
86,11,Large Seed Facility 3,Expansion Bed 1,available,,2026-04-09 03:14:34.892613+00:00
87,11,Large Seed Facility 3,Expansion Bed 2,available,,2026-04-09 03:14:34.899074+00:00
88,11,Large Seed Facility 3,Expansion Bed 3,available,,2026-04-09 03:14:34.905497+00:00
89,11,Large Seed Facility 3,Expansion Bed 4,available,,2026-04-09 03:14:34.912330+00:00
90,11,Large Seed Facility 3,Expansion Bed 5,available,,2026-04-09 03:14:34.916737+00:00
91,11,Large Seed Facility 3,Expansion Bed 6,available,,2026-04-09 03:14:34.921267+00:00
92,11,Large Seed Facility 3,Expansion Bed 7,available,,2026-04-09 03:14:34.925701+00:00
93,11,Large Seed Facility 3,Expansion Bed 8,available,,2026-04-09 03:14:34.932089+00:00
94,11,Large Seed Facility 3,Expansion Bed 9,available,,2026-04-09 03:14:34.938648+00:00
2,1,Boise Recovery House,Bed 2,occupied,IDOC-10002,2026-04-09 03:14:49.060035+00:00
3,1,Boise Recovery House,Bed 3,occupied,IDOC-10003,2026-04-09 03:14:49.076278+00:00
4,1,Boise Recovery House,Bed 4,occupied,IDOC-10004,2026-04-09 03:14:49.092222+00:00
5,1,Boise Recovery House,Bed 5,occupied,IDOC-10005,2026-04-09 03:14:49.105880+00:00
7,2,Meridian Sober Living,Bed 1,occupied,IDOC-20000,2026-04-09 03:14:49.112322+00:00
8,2,Meridian Sober Living,Bed 2,occupied,IDOC-20001,2026-04-09 03:14:49.119430+00:00
9,2,Meridian Sober Living,Bed 3,occupied,IDOC-20002,2026-04-09 03:14:49.130267+00:00
10,2,Meridian Sober Living,Bed 4,occupied,IDOC-20003,2026-04-09 03:14:49.139581+00:00
11,3,Canyon House,Bed 1,occupied,IDOC-20004,2026-04-09 03:14:49.147058+00:00
12,3,Canyon House,Bed 2,occupied,IDOC-20005,2026-04-09 03:14:49.157966+00:00
13,3,Canyon House,Bed 3,occupied,IDOC-20006,2026-04-09 03:14:49.168967+00:00
14,3,Canyon House,Bed 4,occupied,IDOC-20007,2026-04-09 03:14:49.176465+00:00
15,3,Canyon House,Bed 5,occupied,IDOC-20008,2026-04-09 03:14:49.183928+00:00
16,3,Canyon House,Bed 6,occupied,IDOC-20009,2026-04-09 03:14:49.190979+00:00
17,3,Canyon House,Bed 7,occupied,IDOC-20010,2026-04-09 03:14:49.198055+00:00
18,3,Canyon House,Bed 8,occupied,IDOC-20011,2026-04-09 03:14:49.205390+00:00
19,4,Caldwell Transition Home,Bed 1,occupied,IDOC-20012,2026-04-09 03:14:49.212614+00:00
