ID,IDOC ID,First Name,Last Name,District ID,Assigned Bed ID,Housing Start Date,Housing End Date,Created At,Updated At
1,IDOC-10001,James,Wilson,4,1,2026-03-26,2026-06-24,2026-04-09 03:14:33.546519+00:00,2026-04-09 03:14:33.686585+00:00
2,IDOC-10002,Robert,Garcia,3,2,2026-04-02,2026-06-01,2026-04-09 03:14:33.567807+00:00,2026-04-09 03:14:49.069376+00:00
3,IDOC-10003,David,Martinez,7,3,2026-04-02,2026-06-01,2026-04-09 03:14:33.574346+00:00,2026-04-09 03:14:49.081670+00:00
4,IDOC-10004,Michael,Taylor,4,4,2026-04-02,2026-06-01,2026-04-09 03:14:33.600614+00:00,2026-04-09 03:14:49.101901+00:00
5,IDOC-10005,William,Anderson,1,5,2026-04-02,2026-06-01,2026-04-09 03:14:33.645296+00:00,2026-04-09 03:14:49.109257+00:00
6,IDOC-20000,Parolee20000,LargeSeed,1,7,2026-04-02,2026-06-01,2026-04-09 03:14:45.480838+00:00,2026-04-09 03:14:49.115851+00:00
7,IDOC-20001,Parolee20001,LargeSeed,2,8,2026-04-02,2026-06-01,2026-04-09 03:14:45.486962+00:00,2026-04-09 03:14:49.125338+00:00
8,IDOC-20002,Parolee20002,LargeSeed,3,9,2026-04-02,2026-06-01,2026-04-09 03:14:45.492382+00:00,2026-04-09 03:14:49.135287+00:00
9,IDOC-20003,Parolee20003,LargeSeed,4,10,2026-04-02,2026-06-01,2026-04-09 03:14:45.498324+00:00,2026-04-09 03:14:49.143077+00:00
10,IDOC-20004,Parolee20004,LargeSeed,5,11,2026-04-02,2026-06-01,2026-04-09 03:14:45.504847+00:00,2026-04-09 03:14:49.150777+00:00
11,IDOC-20005,Parolee20005,LargeSeed,6,12,2026-04-02,2026-06-01,2026-04-09 03:14:45.510564+00:00,2026-04-09 03:14:49.165086+00:00
12,IDOC-20006,Parolee20006,LargeSeed,7,13,2026-04-02,2026-06-01,2026-04-09 03:14:45.519823+00:00,2026-04-09 03:14:49.172865+00:00
13,IDOC-20007,Parolee20007,LargeSeed,1,14,2026-04-02,2026-06-01,2026-04-09 03:14:45.525329+00:00,2026-04-09 03:14:49.179983+00:00
14,IDOC-20008,Parolee20008,LargeSeed,2,15,2026-04-02,2026-06-01,2026-04-09 03:14:45.538347+00:00,2026-04-09 03:14:49.187400+00:00
